Config,Accuracy,Cost,NaiveCost,CostSavings,AvgLatency,P95Latency,LocalRate,EscalatedRate
"Config #01 (Ratio: 0.05)",83.3,0.000437,0.003196,86.3,1288,2035,50.0,33.3
"Config #02 (Ratio: 0.10)",66.7,0.000771,0.002594,70.3,1974,5588,16.7,66.7
"Config #03 (Ratio: 0.15)",66.7,0.000595,0.002866,79.2,1131,1842,33.3,50.0
"Config #04 (Ratio: 0.20)",66.7,0.001284,0.002636,51.3,1177,2375,0.0,83.3
"Config #05 (Ratio: 0.25)",66.7,0.001037,0.002389,56.6,1010,2237,0.0,83.3
"Config #06 (Ratio: 0.30)",66.7,0.001134,0.002486,54.4,1109,1918,0.0,83.3
"Config #07 (Ratio: 0.35)",66.7,0.000870,0.002222,60.8,1216,2973,0.0,83.3
"Config #08 (Ratio: 0.40)",66.7,0.000999,0.002351,57.5,973,1981,0.0,83.3
"Config #09 (Ratio: 0.45)",66.7,0.001002,0.002354,57.4,1161,2319,0.0,83.3
"Config #10 (Ratio: 0.50)",66.7,0.000950,0.002302,58.7,855,1370,0.0,83.3
"Config #11 (Ratio: 0.55)",100.0,0.000341,0.003144,89.2,1021,2005,50.0,33.3
"Config #12 (Ratio: 0.60)",66.7,0.000985,0.002337,57.9,1081,2087,0.0,83.3
"Config #13 (Ratio: 0.65)",66.7,0.001093,0.002445,55.3,1147,2445,0.0,83.3
"Config #14 (Ratio: 0.70)",66.7,0.001051,0.002403,56.3,1276,3402,0.0,83.3
"Config #15 (Ratio: 0.75)",66.7,0.000839,0.002191,61.7,878,1353,0.0,83.3
"Config #16 (Ratio: 0.80)",66.7,0.001242,0.002594,52.1,1100,2074,0.0,83.3
"Config #17 (Ratio: 0.85)",66.7,0.001089,0.002441,55.4,1259,3732,0.0,83.3
"Config #18 (Ratio: 0.90)",66.7,0.000974,0.002326,58.1,955,2025,0.0,83.3
"Config #19 (Ratio: 0.95)",66.7,0.001089,0.002441,55.4,1142,2767,0.0,83.3
"Config #20 (Ratio: 1.00)",66.7,0.001034,0.002386,56.7,1117,2189,0.0,83.3